date;avg_temp;total_rainfall
08/01/2012;29.215;0.17
15/01/2012;28.97;0.15
22/01/2012;28.27142857;4.47
29/01/2012;28.71;0.02
05/02/2012;28.12714286;3.92
12/02/2012;27.12;23.95
19/02/2012;26.04;20.38
26/02/2012;26.96571429;0.7
04/03/2012;28.57714286;0.19
11/03/2012;28.43571429;0.91
18/03/2012;29.48857143;1.66
25/03/2012;29.08142857;8
01/04/2012;28.92571429;2.13
08/04/2012;28.59;0.01
15/04/2012;28.16;0.04
22/04/2012;29.18142857;0.07
29/04/2012;28.26857143;0
06/05/2012;27.51142857;0
13/05/2012;27.29285714;0.11
20/05/2012;27.62;0.78
27/05/2012;26.47857143;2.31
03/06/2012;26.82571429;0.2
10/06/2012;26.01142857;0.04
17/06/2012;25.42571429;2
24/06/2012;26.58857143;1.26
01/07/2012;23.85;1.99
08/07/2012;23.52714286;1.41
15/07/2012;25.41285714;0.5
22/07/2012;24.36714286;1.5
29/07/2012;23.90428571;0.24
05/08/2012;23.10428571;1.51
12/08/2012;24.00714286;0.36
19/08/2012;23.52;2.67
26/08/2012;23.06571429;4.16
02/09/2012;25.44857143;0.02
09/09/2012;24.67428571;0.29
16/09/2012;26.45;0
23/09/2012;27.36285714;0
30/09/2012;26.44428571;1.29
07/10/2012;26.49428571;0.02
14/10/2012;27.56571429;0.09
21/10/2012;28.26857143;0
28/10/2012;28.32142857;0.02
04/11/2012;29.38714286;5.61
11/11/2012;27.27;11.86
18/11/2012;29.78142857;1.02
25/11/2012;29.99142857;3.19
02/12/2012;29.68142857;3.12
09/12/2012;29.32714286;2.49
16/12/2012;29.24142857;3.82
23/12/2012;29.91857143;0.41
30/12/2012;29.53285714;0.03
06/01/2013;28.59857143;6.03
13/01/2013;29.57571429;1.06
20/01/2013;27.29857143;24.95
27/01/2013;26.79714286;26.79
03/02/2013;28.30571429;0.55
10/02/2013;29.22714286;0.07
17/02/2013;29.3;0
24/02/2013;29.01714286;0.02
03/03/2013;30.35;0.02
10/03/2013;29.91571429;0.02
17/03/2013;30.80857143;0.03
24/03/2013;29.15571429;19.12
31/03/2013;29.50714286;2.72
07/04/2013;29.64;7.44
14/04/2013;30.18;0.48
21/04/2013;26.80428571;36.08
28/04/2013;25.35571429;5.37
05/05/2013;26.06285714;4.05
12/05/2013;26.90142857;3.26
19/05/2013;25.78;2.95
26/05/2013;27.18857143;0.78
02/06/2013;26.75571429;1.11
09/06/2013;26.06714286;1.52
16/06/2013;25.66285714;2.37
23/06/2013;26.02857143;0.74
30/06/2013;25.24285714;0.1
07/07/2013;24.84857143;1.75
14/07/2013;23.99571429;5.68
21/07/2013;24.50285714;4.75
28/07/2013;25.11714286;2.9
04/08/2013;23.51;3.07
11/08/2013;24.36571429;2.43
18/08/2013;25.32428571;0.67
25/08/2013;25.14857143;1.4
01/09/2013;25.98142857;2.56
08/09/2013;26.13142857;1.55
15/09/2013;25.11857143;0.91
22/09/2013;27.25857143;0.14
29/09/2013;28.43285714;0.01
06/10/2013;28.43142857;0.02
13/10/2013;26.84285714;3.02
20/10/2013;27.77857143;4.78
27/10/2013;27.58857143;0.02
03/11/2013;28.96857143;3.71
10/11/2013;28.46428571;4.03
17/11/2013;28.60428571;0.39
24/11/2013;27.46714286;6.69
01/12/2013;26.68714286;38.49
08/12/2013;28.87857143;15.05
15/12/2013;27.83;31.33
22/12/2013;24.29285714;90.88
29/12/2013;25.37142857;1.44
05/01/2014;25.77;0.03
12/01/2014;25.96142857;10.91
19/01/2014;26.78;5.13
26/01/2014;27.75142857;0.08
02/02/2014;28.14714286;1.16
09/02/2014;27.97857143;2.13
16/02/2014;28.15142857;14.15
23/02/2014;26.69714286;22.92
02/03/2014;27.06571429;24.64
09/03/2014;26.16571429;19.77
16/03/2014;27.40142857;0.93
23/03/2014;28.70285714;0.42
30/03/2014;29.37714286;4.14
06/04/2014;29.50428571;9.58
13/04/2014;25.24428571;92.07
20/04/2014;26.28714286;0.47
27/04/2014;26.27714286;17.47
04/05/2014;24.85142857;3.59
11/05/2014;25.54714286;1.36
18/05/2014;25.79428571;3.63
25/05/2014;26.75857143;0.37
01/06/2014;25.87;3.69
08/06/2014;26.16428571;0.56
15/06/2014;24.95857143;0.53
22/06/2014;24.85857143;1.03
29/06/2014;24.96571429;1.42
06/07/2014;24.82428571;0.3
13/07/2014;24.78285714;0.62
20/07/2014;24.59428571;1.36
27/07/2014;24.82571429;8.38
03/08/2014;24.05285714;7.46
10/08/2014;24.43857143;0.21
17/08/2014;24.18142857;2.93
24/08/2014;24.13714286;0.49
31/08/2014;26.26857143;0
07/09/2014;26.78428571;0.26
14/09/2014;25.38714286;4.27
21/09/2014;26.92857143;0.14
28/09/2014;27.92428571;0
05/10/2014;27.4;0.75
12/10/2014;26.15142857;0.53
19/10/2014;27.96;0.05
26/10/2014;28.65714286;0.03
02/11/2014;28.90571429;0.05
09/11/2014;29.14;0.66
16/11/2014;29.50571429;12.63
23/11/2014;26.05571429;44.9
30/11/2014;27.46428571;0.01
07/12/2014;27.23428571;4.71
14/12/2014;27.74571429;2.39
21/12/2014;26.41571429;39.71
28/12/2014;26.88;0.12
04/01/2015;28.69857143;0.32
11/01/2015;28.78428571;0.09
18/01/2015;29.13428571;0
25/01/2015;28.36285714;5.51
01/02/2015;28.97142857;0.07
